month,category_code,brand,purchase_count,revenue,brand_rank_in_category
10월,accessories.bag,karya,126,10304.5,1
10월,accessories.bag,unknown,153,9318.87,2
10월,accessories.bag,baden,88,4097.09,3
10월,accessories.umbrella,xiaomi,14,356.72,1
10월,accessories.umbrella,fabretti,10,254.8,2
10월,accessories.wallet,karya,195,7549.47,1
10월,accessories.wallet,petek,75,5331.44,2
10월,accessories.wallet,picard,26,1496.78,3
10월,apparel.belt,unknown,17,1027.83,1
10월,apparel.belt,petek,3,163.71,2
10월,apparel.belt,carpisa,1,30.86,3
10월,apparel.costume,unknown,410,34106.81,1
10월,apparel.costume,nike,43,6312.23,2
10월,apparel.costume,jordan,36,6073.94,3
10월,apparel.dress,unknown,6,535.4,1
10월,apparel.dress,conceptclub,7,264.1,2
10월,apparel.dress,annaanna,2,71.81,3
10월,apparel.jacket,sly,1,43.23,1
10월,apparel.jeans,unknown,137,6032.2,1
10월,apparel.jeans,noppies,2,97.82,2
10월,apparel.jeans,conceptclub,1,33.21,3
10월,apparel.jumper,conceptclub,2,61.26,1
10월,apparel.scarf,fabretti,10,241.93,1
10월,apparel.shirt,harley-davidson,8,974.3,1
10월,apparel.shirt,dion,29,863.56,2
10월,apparel.shirt,jordan,1,102.71,3
10월,apparel.shoes,respect,1158,100861.09,1
10월,apparel.shoes,unknown,857,85607.86,2
10월,apparel.shoes,baden,585,41602.01,3
10월,apparel.shoes.ballet_shoes,respect,6,192.03,1
10월,apparel.shoes.ballet_shoes,caprice,2,71.56,2
10월,apparel.shoes.ballet_shoes,spur,3,50.97,3
10월,apparel.shoes.keds,unknown,375,24678.82,1
10월,apparel.shoes.keds,respect,482,24441.23,2
10월,apparel.shoes.keds,reebok,195,22544.93,3
10월,apparel.shoes.moccasins,etor,29,2834.11,1
10월,apparel.shoes.moccasins,respect,15,842.24,2
10월,apparel.shoes.moccasins,greyder,8,519.95,3
10월,apparel.shoes.sandals,respect,13,377.36,1
10월,apparel.shoes.sandals,rieker,7,231.92,2
10월,apparel.shoes.sandals,garvalin,2,71.56,3
10월,apparel.shoes.slipons,unknown,3,249.68,1
10월,apparel.shoes.slipons,respect,4,131.53,2
10월,apparel.shoes.slipons,nexpero,1,16.99,3
10월,apparel.shorts,carters,2,32.18,1
10월,apparel.skirt,sly,3,91.83,1
10월,apparel.skirt,unknown,1,18.02,2
10월,apparel.sock,cybex,5,849.3,1
10월,apparel.sock,chicco,8,266.9,2
10월,apparel.sock,unknown,8,166.88,3
10월,apparel.trousers,unknown,13,485.22,1
10월,apparel.trousers,nike,4,293.36,2
10월,apparel.trousers,jordan,4,284.11,3
10월,apparel.tshirt,unknown,22,797.69,1
10월,apparel.tshirt,nike,16,642.18,2
10월,apparel.tshirt,harley-davidson,4,230.37,3
10월,apparel.underwear,milavitsa,92,1947.97,1
10월,apparel.underwear,jasmine,2,92.66,2
10월,apparel.underwear,noppies,2,42.48,3
10월,appliances.environment.air_conditioner,artel,104,106183.98,1
10월,appliances.environment.air_conditioner,samsung,47,21047.53,2
10월,appliances.environment.air_conditioner,elenberg,87,19155.46,3
10월,appliances.environment.air_heater,unknown,392,19732.24,1
10월,appliances.environment.air_heater,oasis,630,19073.95,2
