month,event_date,view_count,cart_count,purchase_count,remove_from_cart_count,revenue,daily_user_count,daily_session_count,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
10월,2019-10-01,1208217,16193,19305,0,6275579.06,190188,268737,1.34,119.22,1.6
10월,2019-10-02,1154513,16871,19469,0,6213628.53,184965,261252,1.46,115.4,1.69
10월,2019-10-03,1088667,18702,19255,0,6233782.98,170668,241086,1.72,102.96,1.77
10월,2019-10-04,1346243,42657,27039,0,8623058.19,209410,300651,3.17,63.39,2.01
10월,2019-10-05,1271278,34564,23492,0,7341094.46,194958,276914,2.72,67.97,1.85
10월,2019-10-06,1264000,30995,22169,0,6737258.17,193210,273034,2.45,71.52,1.75
10월,2019-10-07,1161026,17570,21378,0,6348189.06,186951,263437,1.51,121.67,1.84
10월,2019-10-08,1329054,17952,23071,0,6819701.26,221204,308348,1.35,128.51,1.74
10월,2019-10-09,1306301,17886,22747,0,6855326.05,214140,301219,1.37,127.18,1.74
10월,2019-10-10,1243027,18336,21992,0,6665413.21,205321,295142,1.48,119.94,1.77
10월,2019-10-11,1447615,20733,26224,0,7716208.55,230533,333407,1.43,126.48,1.81
10월,2019-10-12,1433772,19998,25373,0,7307691.57,208355,304374,1.39,126.88,1.77
10월,2019-10-13,1584605,24124,29561,0,8457606.49,225942,333508,1.52,122.54,1.87
10월,2019-10-14,1381359,43591,28405,0,9356691.65,209089,307692,3.16,65.16,2.06
10월,2019-10-15,1466233,48066,26371,0,8652872.26,230135,334648,3.28,54.86,1.8
10월,2019-10-16,1445656,43936,31393,0,9747164.72,230199,328743,3.04,71.45,2.17
10월,2019-10-17,1338254,39281,28317,0,9026019.07,208477,302842,2.94,72.09,2.12
10월,2019-10-18,1415731,38879,25849,0,8154781.53,229463,334977,2.75,66.49,1.83
10월,2019-10-19,1385096,38285,24657,0,7562479.36,217920,321300,2.76,64.4,1.78
10월,2019-10-20,1444285,39375,25097,0,7515168.65,231849,339943,2.73,63.74,1.74
10월,2019-10-21,1343491,35485,25165,0,7862143.64,225269,321282,2.64,70.92,1.87
10월,2019-10-22,1354475,36027,25383,0,7913671.44,223384,316706,2.66,70.46,1.87
10월,2019-10-23,1319922,35372,24730,0,7614084.79,219100,310453,2.68,69.91,1.87
10월,2019-10-24,1256718,34592,23999,0,7470344.6,206937,293587,2.75,69.38,1.91
10월,2019-10-25,1374431,35551,23883,0,7235218.34,223258,318055,2.59,67.18,1.74
10월,2019-10-26,1289782,33722,22653,0,6917602.84,202172,289579,2.61,67.18,1.76
10월,2019-10-27,1330852,33147,23401,0,7197520.64,201359,289835,2.49,70.6,1.76
10월,2019-10-28,1221888,17193,21111,0,6591445.12,195563,281001,1.41,122.79,1.73
10월,2019-10-29,1190032,16597,20372,0,6432162.0,193168,276723,1.39,122.75,1.71
10월,2019-10-30,1172284,16458,20815,0,6633882.15,191965,274906,1.4,126.47,1.78
10월,2019-10-31,1208521,16305,20097,0,6455422.25,198571,281446,1.35,123.26,1.66
11월,2019-11-01,1403948,18349,22457,0,6949402.19,223108,320904,1.31,122.39,1.6
11월,2019-11-02,1514263,18808,21863,0,6389578.47,234685,338769,1.24,116.24,1.44
11월,2019-11-03,1525357,19538,22145,0,6656920.09,240187,343373,1.28,113.34,1.45
11월,2019-11-04,1744242,21377,26889,0,8033899.65,275612,396756,1.23,125.78,1.54
11월,2019-11-05,1673087,18800,24872,0,7248731.79,262338,376362,1.12,132.3,1.49
11월,2019-11-06,1649781,19124,25319,0,7397760.63,256887,367143,1.16,132.39,1.53
11월,2019-11-07,1752467,18908,24862,0,7061934.9,278988,396201,1.08,131.49,1.42
11월,2019-11-08,1793283,74953,25714,0,7742039.59,286053,444456,4.18,34.31,1.43
