month,category_code,buyer_count,revisit_buyer_count,revisit_rate,rank
10월,auto.accessories.alarm,1764,1586,89.91,1
10월,furniture.living_room.cabinet,1302,1165,89.48,2
10월,auto.accessories.videoregister,1826,1618,88.61,3
10월,computers.desktop,2204,1933,87.7,4
10월,appliances.personal.scales,1083,948,87.53,5
11월,computers.components.hdd,1159,1090,94.05,1
11월,computers.peripherals.mouse,1035,966,93.33,2
11월,accessories.bag,1363,1269,93.1,3
11월,appliances.kitchen.hood,1283,1174,91.5,4
11월,furniture.kitchen.table,1011,925,91.49,5
