month,cohort_day,day_n,target_day,cohort_user_count,retained_user_count,retention_rate
10월,1,0,1,190188,190188,100.0
10월,1,1,2,190188,32862,17.28
10월,1,2,3,190188,25730,13.53
10월,1,3,4,190188,27956,14.7
10월,1,4,5,190188,23299,12.25
10월,1,5,6,190188,21905,11.52
10월,1,6,7,190188,21404,11.25
10월,1,7,8,190188,22402,11.78
10월,1,8,9,190188,21313,11.21
10월,1,9,10,190188,20702,10.89
10월,1,10,11,190188,22459,11.81
10월,1,11,12,190188,19591,10.3
10월,1,12,13,190188,20928,11.0
10월,1,13,14,190188,21129,11.11
10월,1,14,15,190188,21798,11.46
10월,1,15,16,190188,19806,10.41
10월,1,16,17,190188,18799,9.88
10월,1,17,18,190188,19732,10.37
10월,1,18,19,190188,17869,9.4
10월,1,19,20,190188,17886,9.4
10월,1,20,21,190188,17536,9.22
10월,1,21,22,190188,16791,8.83
10월,1,22,23,190188,16619,8.74
10월,1,23,24,190188,15744,8.28
10월,1,24,25,190188,17392,9.14
10월,1,25,26,190188,15357,8.07
10월,1,26,27,190188,15118,7.95
10월,1,27,28,190188,15236,8.01
10월,1,28,29,190188,14706,7.73
10월,1,29,30,190188,14296,7.52
10월,1,30,31,190188,14666,7.71
10월,2,0,2,152103,152103,100.0
10월,2,1,3,152103,20676,13.59
10월,2,2,4,152103,19952,13.12
10월,2,3,5,152103,16039,10.54
10월,2,4,6,152103,14938,9.82
10월,2,5,7,152103,14363,9.44
10월,2,6,8,152103,15183,9.98
10월,2,7,9,152103,14697,9.66
10월,2,8,10,152103,13937,9.16
10월,2,9,11,152103,15395,10.12
10월,2,10,12,152103,13493,8.87
10월,2,11,13,152103,14286,9.39
10월,2,12,14,152103,14389,9.46
10월,2,13,15,152103,14798,9.73
10월,2,14,16,152103,13761,9.05
10월,2,15,17,152103,12653,8.32
10월,2,16,18,152103,13564,8.92
10월,2,17,19,152103,12146,7.99
10월,2,18,20,152103,12308,8.09
10월,2,19,21,152103,11828,7.78
10월,2,20,22,152103,11584,7.62
10월,2,21,23,152103,11308,7.43
10월,2,22,24,152103,10495,6.9
10월,2,23,25,152103,11592,7.62
10월,2,24,26,152103,10264,6.75
10월,2,25,27,152103,10216,6.72
10월,2,26,28,152103,10304,6.77
10월,2,27,29,152103,9844,6.47
10월,2,28,30,152103,9917,6.52
10월,2,29,31,152103,10205,6.71
10월,3,0,3,124262,124262,100.0
10월,3,1,4,124262,18286,14.72
10월,3,2,5,124262,13023,10.48
10월,3,3,6,124262,11690,9.41
10월,3,4,7,124262,11267,9.07
10월,3,5,8,124262,11870,9.55
10월,3,6,9,124262,11373,9.15
10월,3,7,10,124262,10689,8.6
10월,3,8,11,124262,11639,9.37
10월,3,9,12,124262,10543,8.48
10월,3,10,13,124262,11178,9.0
10월,3,11,14,124262,11035,8.88
10월,3,12,15,124262,11622,9.35
10월,3,13,16,124262,10231,8.23
10월,3,14,17,124262,9877,7.95
10월,3,15,18,124262,10501,8.45
10월,3,16,19,124262,9508,7.65
10월,3,17,20,124262,9670,7.78
10월,3,18,21,124262,9147,7.36
10월,3,19,22,124262,8766,7.05
10월,3,20,23,124262,8645,6.96
10월,3,21,24,124262,8160,6.57
10월,3,22,25,124262,9055,7.29
10월,3,23,26,124262,7925,6.38
