month,first_purchase_day,day_n,target_day,cohort_user_count,retained_user_count,retention_rate
10월,1,0,1,14064,14064,100.0
10월,1,1,2,14064,3670,26.09
10월,1,2,3,14064,2721,19.35
10월,1,3,4,14064,2821,20.06
10월,1,4,5,14064,2229,15.85
10월,1,5,6,14064,2021,14.37
10월,1,6,7,14064,2114,15.03
10월,1,7,8,14064,2113,15.02
10월,1,8,9,14064,1945,13.83
10월,1,9,10,14064,1989,14.14
10월,1,10,11,14064,1955,13.9
10월,1,11,12,14064,1650,11.73
10월,1,12,13,14064,1780,12.66
10월,1,13,14,14064,1924,13.68
10월,1,14,15,14064,2060,14.65
10월,1,15,16,14064,1848,13.14
10월,1,16,17,14064,1731,12.31
10월,1,17,18,14064,1793,12.75
10월,1,18,19,14064,1577,11.21
10월,1,19,20,14064,1536,10.92
10월,1,20,21,14064,1581,11.24
10월,1,21,22,14064,1478,10.51
10월,1,22,23,14064,1510,10.74
10월,1,23,24,14064,1451,10.32
10월,1,24,25,14064,1468,10.44
10월,1,25,26,14064,1263,8.98
10월,1,26,27,14064,1273,9.05
10월,1,27,28,14064,1299,9.24
10월,1,28,29,14064,1281,9.11
10월,1,29,30,14064,1272,9.04
10월,1,30,31,14064,1301,9.25
10월,2,0,2,12322,12322,100.0
10월,2,1,3,12322,2898,23.52
10월,2,2,4,12322,2512,20.39
10월,2,3,5,12322,1938,15.73
10월,2,4,6,12322,1714,13.91
10월,2,5,7,12322,1711,13.89
10월,2,6,8,12322,1728,14.02
10월,2,7,9,12322,1642,13.33
10월,2,8,10,12322,1579,12.81
10월,2,9,11,12322,1623,13.17
10월,2,10,12,12322,1432,11.62
10월,2,11,13,12322,1510,12.25
10월,2,12,14,12322,1595,12.94
10월,2,13,15,12322,1646,13.36
10월,2,14,16,12322,1607,13.04
10월,2,15,17,12322,1452,11.78
10월,2,16,18,12322,1516,12.3
10월,2,17,19,12322,1309,10.62
10월,2,18,20,12322,1224,9.93
10월,2,19,21,12322,1263,10.25
10월,2,20,22,12322,1213,9.84
10월,2,21,23,12322,1203,9.76
10월,2,22,24,12322,1109,9.0
10월,2,23,25,12322,1161,9.42
10월,2,24,26,12322,1055,8.56
10월,2,25,27,12322,1029,8.35
10월,2,26,28,12322,1004,8.15
10월,2,27,29,12322,1039,8.43
10월,2,28,30,12322,1054,8.55
10월,2,29,31,12322,1014,8.23
10월,3,0,3,11380,11380,100.0
10월,3,1,4,11380,2920,25.66
10월,3,2,5,11380,1835,16.12
10월,3,3,6,11380,1632,14.34
10월,3,4,7,11380,1694,14.89
10월,3,5,8,11380,1592,13.99
10월,3,6,9,11380,1506,13.23
10월,3,7,10,11380,1426,12.53
10월,3,8,11,11380,1474,12.95
10월,3,9,12,11380,1310,11.51
10월,3,10,13,11380,1293,11.36
10월,3,11,14,11380,1495,13.14
10월,3,12,15,11380,1508,13.25
10월,3,13,16,11380,1429,12.56
10월,3,14,17,11380,1323,11.63
10월,3,15,18,11380,1324,11.63
10월,3,16,19,11380,1217,10.69
10월,3,17,20,11380,1169,10.27
10월,3,18,21,11380,1112,9.77
10월,3,19,22,11380,1081,9.5
10월,3,20,23,11380,1059,9.31
10월,3,21,24,11380,1001,8.8
10월,3,22,25,11380,1078,9.47
10월,3,23,26,11380,929,8.16
10월,3,24,27,11380,958,8.42
10월,3,25,28,11380,972,8.54
10월,3,26,29,11380,947,8.32
10월,3,27,30,11380,913,8.02
10월,3,28,31,11380,953,8.37
10월,4,0,4,15696,15696,100.0
10월,4,1,5,15696,3720,23.7
10월,4,2,6,15696,2526,16.09
10월,4,3,7,15696,2531,16.13
10월,4,4,8,15696,2434,15.51
10월,4,5,9,15696,2154,13.72
10월,4,6,10,15696,2071,13.19
10월,4,7,11,15696,2173,13.84
10월,4,8,12,15696,1931,12.3
10월,4,9,13,15696,2036,12.97
10월,4,10,14,15696,2104,13.4
10월,4,11,15,15696,2215,14.11
10월,4,12,16,15696,2006,12.78
10월,4,13,17,15696,1782,11.35
10월,4,14,18,15696,1903,12.12
10월,4,15,19,15696,1696,10.81
10월,4,16,20,15696,1683,10.72
