month,brand,view_count,cart_count,purchase_count,remove_from_cart_count,revenue,total_user_count,purchase_user_count,total_session_count,purchase_session_count,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,purchase_user_rate,revenue_per_purchase_user
10월,apple,2991605,161532,115334,0,102540617.06,591544,53523,1170240,98262,5.4,71.4,3.86,9.05,1915.82
10월,samsung,3386560,238569,143108,0,37368977.17,675556,76524,1260728,123144,7.04,59.99,4.23,11.33,488.33
10월,xiaomi,2094071,65868,38769,0,8058377.17,287430,23349,634863,34355,3.15,58.86,1.85,8.12,345.13
10월,huawei,940114,38474,21880,0,4702494.51,203729,14262,344032,19451,4.09,56.87,2.33,7.0,329.72
10월,oppo,451419,19825,10887,0,2412033.98,114827,7086,177648,9674,4.39,54.92,2.41,6.17,340.39
10월,vivo,108171,2915,2025,0,495678.6,26341,1287,41401,1791,2.69,69.47,1.87,4.89,385.14
10월,oneplus,65251,98,509,0,351076.22,18745,286,29050,454,0.15,519.39,0.78,1.53,1227.54
10월,unknown,21075,371,443,0,303977.43,10979,333,12876,391,1.76,119.41,2.1,3.03,912.85
10월,meizu,152974,872,1686,0,212324.57,41173,1219,60442,1534,0.57,193.35,1.1,2.96,174.18
10월,sony,66545,425,494,0,167517.95,17127,343,24329,463,0.64,116.24,0.74,2.0,488.39
10월,honor,75492,842,555,0,137484.75,21606,397,31700,513,1.12,65.91,0.74,1.84,346.31
10월,nokia,69425,679,512,0,83692.4,20199,390,27226,481,0.98,75.41,0.74,1.93,214.6
10월,tp-link,22137,148,375,0,40696.36,8890,255,11159,335,0.67,253.38,1.69,2.87,159.59
10월,lg,24008,2,110,0,33751.53,7639,90,10398,106,0.01,5500.0,0.46,1.18,375.02
10월,google,15408,0,27,0,16272.95,6587,14,8417,25,0.0,0.0,0.18,0.21,1162.35
10월,prestigio,13701,300,287,0,15833.6,5727,204,7132,262,2.19,95.67,2.09,3.56,77.62
10월,umi,3640,57,27,0,14244.5,1940,24,2302,25,1.57,47.37,0.74,1.24,593.52
10월,zte,10375,213,173,0,13623.87,5057,137,6030,160,2.05,81.22,1.67,2.71,99.44
10월,doogee,17992,95,89,0,10635.26,6792,73,8344,82,0.53,93.68,0.49,1.07,145.69
10월,inoi,16078,292,195,0,10123.7,6974,150,8387,178,1.82,66.78,1.21,2.15,67.49
10월,tecno,5837,0,95,0,9872.97,2593,71,3376,91,0.0,0.0,1.63,2.74,139.06
10월,haier,10808,148,92,0,7768.98,5359,75,6276,85,1.37,62.16,0.85,1.4,103.59
