month,brand,stage,count
10월,apple,cart,161532
10월,apple,purchase,115334
10월,apple,view,2991605
10월,ark,cart,0
10월,ark,purchase,0
10월,ark,view,60
10월,asus,cart,12
10월,asus,purchase,12
10월,asus,view,6593
10월,blackberry,cart,0
10월,blackberry,purchase,8
10월,blackberry,view,3677
10월,bq,cart,97
10월,bq,purchase,92
10월,bq,view,20597
10월,bravis,cart,0
10월,bravis,purchase,0
10월,bravis,view,1
10월,doogee,cart,95
10월,doogee,purchase,89
10월,doogee,view,17992
10월,fly,cart,42
10월,fly,purchase,46
10월,fly,view,2834
10월,gionee,cart,5
10월,gionee,purchase,33
10월,gionee,view,3999
10월,google,cart,0
10월,google,purchase,27
10월,google,view,15408
10월,haier,cart,148
10월,haier,purchase,92
10월,haier,view,10808
10월,hiper,cart,0
10월,hiper,purchase,0
10월,hiper,view,67
10월,honor,cart,842
10월,honor,purchase,555
10월,honor,view,75492
10월,htc,cart,46
10월,htc,purchase,43
10월,htc,view,3221
10월,huawei,cart,38474
10월,huawei,purchase,21880
10월,huawei,view,940114
10월,inoi,cart,292
10월,inoi,purchase,195
10월,inoi,view,16078
10월,irbis,cart,0
10월,irbis,purchase,7
10월,irbis,view,3476
10월,jinga,cart,75
10월,jinga,purchase,43
10월,jinga,view,4353
10월,leagoo,cart,0
10월,leagoo,purchase,0
10월,leagoo,view,205
10월,leeco,cart,0
10월,leeco,purchase,0
10월,leeco,view,1046
10월,lg,cart,2
10월,lg,purchase,110
10월,lg,view,24008
10월,meizu,cart,872
10월,meizu,purchase,1686
10월,meizu,view,152974
10월,micromax,cart,0
10월,micromax,purchase,1
10월,micromax,view,672
10월,motorola,cart,0
10월,motorola,purchase,0
10월,motorola,view,23
10월,nokia,cart,679
10월,nokia,purchase,512
10월,nokia,view,69425
10월,nubia,cart,3
10월,nubia,purchase,5
10월,nubia,view,2091
10월,oneplus,cart,98
10월,oneplus,purchase,509
10월,oneplus,view,65251
10월,oppo,cart,19825
10월,oppo,purchase,10887
10월,oppo,view,451419
10월,oukitel,cart,0
10월,oukitel,purchase,0
10월,oukitel,view,235
10월,philips,cart,0
10월,philips,purchase,1
10월,philips,view,624
10월,prestigio,cart,300
10월,prestigio,purchase,287
10월,prestigio,view,13701
10월,samsung,cart,238569
10월,samsung,purchase,143108
10월,samsung,view,3386560
10월,sony,cart,425
10월,sony,purchase,494
10월,sony,view,66545
10월,tecno,cart,0
10월,tecno,purchase,95
10월,tecno,view,5837
10월,texet,cart,2
10월,texet,purchase,16
10월,texet,view,1273
10월,tp-link,cart,148
10월,tp-link,purchase,375
10월,tp-link,view,22137
10월,umi,cart,57
10월,umi,purchase,27
10월,umi,view,3640
10월,unknown,cart,371
10월,unknown,purchase,443
10월,unknown,view,21075
10월,vertex,cart,0
10월,vertex,purchase,0
10월,vertex,view,915
10월,vivo,cart,2915
10월,vivo,purchase,2025
10월,vivo,view,108171
10월,xiaomi,cart,65868
10월,xiaomi,purchase,38769
10월,xiaomi,view,2094071
10월,zte,cart,213
10월,zte,purchase,173
10월,zte,view,10375
11월,apple,cart,361767
11월,apple,purchase,127252
11월,apple,view,4159302
11월,ark,cart,0
11월,ark,purchase,0
11월,ark,view,42
11월,asus,cart,42
11월,asus,purchase,13
11월,asus,view,3965
11월,blackberry,cart,26
11월,blackberry,purchase,21
11월,blackberry,view,4673
11월,bq,cart,337
11월,bq,purchase,96
11월,bq,view,26925
11월,bravis,cart,0
11월,bravis,purchase,0
11월,bravis,view,1
11월,doogee,cart,187
11월,doogee,purchase,55
11월,doogee,view,21316
11월,fly,cart,52
11월,fly,purchase,29
11월,fly,view,2196
11월,gionee,cart,35
11월,gionee,purchase,9
11월,gionee,view,3582
11월,google,cart,130
11월,google,purchase,36
11월,google,view,18591
11월,haier,cart,173
11월,haier,purchase,72
11월,haier,view,12953
11월,hiper,cart,0
11월,hiper,purchase,0
11월,hiper,view,48
11월,honor,cart,2022
11월,honor,purchase,699
11월,honor,view,105055
11월,htc,cart,138
11월,htc,purchase,44
11월,htc,view,6428
11월,huawei,cart,64911
11월,huawei,purchase,21636
11월,huawei,view,1149146
11월,inoi,cart,650
11월,inoi,purchase,203
11월,inoi,view,21689
11월,irbis,cart,19
11월,irbis,purchase,8
11월,irbis,view,3186
11월,jinga,cart,70
11월,jinga,purchase,27
11월,jinga,view,3350
11월,leagoo,cart,0
11월,leagoo,purchase,0
11월,leagoo,view,210
11월,leeco,cart,1
11월,leeco,purchase,0
11월,leeco,view,1603
11월,lenovo,cart,9
11월,lenovo,purchase,2
11월,lenovo,view,396
11월,lg,cart,298
11월,lg,purchase,102
11월,lg,view,23795
11월,meizu,cart,5658
11월,meizu,purchase,2084
11월,meizu,view,193806
11월,micromax,cart,10
11월,micromax,purchase,0
11월,micromax,view,496
11월,motorola,cart,0
11월,motorola,purchase,0
11월,motorola,view,15
11월,nokia,cart,2220
11월,nokia,purchase,654
11월,nokia,view,91206
11월,nubia,cart,23
11월,nubia,purchase,9
11월,nubia,view,2979
11월,oneplus,cart,2230
11월,oneplus,purchase,545
11월,oneplus,view,107357
11월,oppo,cart,42896
11월,oppo,purchase,15080
11월,oppo,view,751972
11월,oukitel,cart,0
11월,oukitel,purchase,0
11월,oukitel,view,519
11월,philips,cart,1
11월,philips,purchase,2
11월,philips,view,678
11월,prestigio,cart,469
11월,prestigio,purchase,188
11월,prestigio,view,13939
11월,samsung,cart,442623
11월,samsung,purchase,161790
11월,samsung,view,4692902
11월,sony,cart,1371
11월,sony,purchase,458
11월,sony,view,78018
11월,tecno,cart,172
11월,tecno,purchase,86
11월,tecno,view,6937
11월,texet,cart,19
11월,texet,purchase,6
11월,texet,view,1661
11월,tp-link,cart,1095
11월,tp-link,purchase,560
11월,tp-link,view,27748
11월,umi,cart,485
11월,umi,purchase,146
11월,umi,view,15896
11월,unknown,cart,568
11월,unknown,purchase,155
11월,unknown,view,20623
11월,vertex,cart,2
11월,vertex,purchase,0
11월,vertex,view,1341
11월,vivo,cart,5671
11월,vivo,purchase,1914
11월,vivo,view,151500
11월,xiaomi,cart,182779
11월,xiaomi,purchase,48553
11월,xiaomi,view,3094285
11월,zte,cart,232
11월,zte,purchase,112
11월,zte,view,9617
