month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,apple,고가,12h 이내,1시간 내 구매,602,527133.65,535,2513.91,2426.75
10월,apple,고가,12h 이내,1시간 초과,322,291739.64,264,6291.5,5431.0
10월,apple,고가,12h 이내,30분 내 구매,13624,11728089.04,11077,566.63,456.0
10월,apple,고가,12h 이내,5분 내 구매,60812,54014290.0,37662,138.35,123.0
10월,apple,고가,12h 이내,즉시 구매(60s),39487,35557014.1,16635,35.26,34.0
10월,apple,고가,36h 초과,1시간 초과,177,150868.28,169,184466.73,176624.0
10월,apple,고가,즉시 구매,즉시 구매(60s),304,262942.63,248,-202.64,-34.0
10월,apple,고가,36h 이내,1시간 초과,4,6445.0,2,117094.0,107116.0
10월,apple,고가,24h 이내,1시간 초과,2,2094.72,2,61409.5,61409.5
10월,asus,고가,12h 이내,5분 내 구매,2,555.18,1,209.5,209.5
10월,asus,고가,12h 이내,즉시 구매(60s),1,277.59,1,25.0,25.0
10월,asus,고가,12h 이내,30분 내 구매,2,555.18,2,393.0,393.0
10월,asus,중가,12h 이내,30분 내 구매,3,511.69,3,747.33,599.0
10월,asus,중가,12h 이내,5분 내 구매,4,732.53,3,86.0,87.0
10월,blackberry,고가,12h 이내,30분 내 구매,4,1373.75,3,941.0,864.0
10월,blackberry,고가,12h 이내,5분 내 구매,3,1028.85,3,112.0,124.0
10월,blackberry,고가,12h 이내,즉시 구매(60s),1,308.63,1,37.0,37.0
10월,bq,저가,12h 이내,5분 내 구매,37,2181.35,36,141.19,136.0
10월,bq,저가,12h 이내,30분 내 구매,20,1066.21,19,520.15,452.0
10월,bq,저가,12h 이내,즉시 구매(60s),23,1336.95,20,36.78,35.0
10월,bq,저가,12h 이내,1시간 내 구매,1,41.16,1,2217.0,2217.0
10월,bq,중가,12h 이내,30분 내 구매,5,540.86,5,837.8,539.0
10월,bq,중가,12h 이내,5분 내 구매,6,695.22,6,181.67,181.0
10월,doogee,저가,12h 이내,30분 내 구매,2,142.72,1,349.0,349.0
10월,doogee,저가,12h 이내,5분 내 구매,4,236.72,4,93.75,90.5
10월,doogee,중가,36h 초과,1시간 초과,1,154.42,1,,
10월,doogee,중가,12h 이내,5분 내 구매,39,4557.45,33,112.49,104.5
10월,doogee,중가,12h 이내,30분 내 구매,24,3136.49,23,619.92,557.0
